StrainID,Coverage,Assembly,Hybrid,NcontigsLonger0bp,NcontigsLonger1000bp,NcontigsLonger5000bp,NcontigsLonger10000bp,NcontigsLonger25000bp,NcontigsLonger50000bp,TotalLengthContigAbove0,TotalLengthContigAbove1000,TotalLengthContigAbove5000,TotalLengthContigAbove10000,TotalLengthContigAbove25000,TotalLengthContigAbove50000,Ncontigs,LargestContig,TotalLength,ReferenceLength,GC,ReferenceGC,N50,NG50,N75,NG75,L50,LG50,L75,LG75,Nmisassemblies,NmisassembledContigs,MisassembledContigsLength,LocalMisassemblies,NunalignedContigs,UnalignedLength,GenomeFraction,DuplicationRatio,NsPer100kbp,NmismatchesPer100kbp,NindelsPer100kbp,LargestAlignment,TotalAlignedLength,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
9108,52,12-4-4_59,1,223,92,55,53,49,39,6578083,6525685,6442459,6431974,6361388,5961288,120,384129,6545188,6431911,66.25,66.35,172559,172559,96030,98270,12,12,25,24,45,28,4182614,56,16 + 22 part,144950,92.23,1.079,0,975.62,20.85,339462,5937864,102487,102487,47125,47278,20,20,46,45
9108,52,8380,1,227,92,56,53,49,39,6579618,6525071,6443402,6423414,6352828,5952900,123,485848,6546088,6613260,66.25,66.23,172559,172559,96030,96030,12,12,25,25,60,27,4591775,55,8 + 19 part,120867,90.934,1.068,0,958.7,21.1,261853,6022202,72526,72486,39165,38825,26,27,55,57
9108,52,AES-1R,1,220,93,56,53,49,39,6575728,6525375,6442636,6422648,6352013,5952085,120,384278,6543897,6343337,66.25,66.51,172559,172559,96030,101761,12,12,25,23,54,32,4693781,59,5 + 22 part,127088,94.113,1.075,0,927.05,20.34,327094,5977876,82045,84419,47805,50878,24,23,50,47
9108,52,ATCC_27853,1,233,98,60,58,53,41,6578599,6523406,6438122,6427637,6335346,5862818,131,485955,6545919,6827737,66.25,66.11,163182,145799,96030,86727,14,15,27,30,56,29,4240907,69,15 + 17 part,214933,86.918,1.067,0,989.84,20.51,261562,5943204,79721,75753,38623,32095,24,26,54,60
9108,52,B136-33,1,211,86,50,48,45,36,6574931,6525319,6446625,6436140,6382798,6021133,116,495592,6545093,6421010,66.25,66.42,213095,213927,106146,111623,11,10,21,20,31,16,3649190,31,16 + 19 part,122188,94.482,1.059,0,635.35,13.73,369324,6074312,113656,116629,56086,58450,18,17,39,37
9108,52,BAMCPA07-48,1,210,88,51,49,46,37,6573273,6525136,6442398,6431913,6378571,6017101,116,384235,6543771,7021552,66.25,66.03,213095,172559,106146,89341,11,13,22,26,50,24,4533359,35,12 + 23 part,141312,87.286,1.045,0,620.48,15.58,279564,6139829,103784,94030,50803,34528,19,22,43,52
9108,52,Carb01_63,1,221,92,55,53,48,38,6575852,6525098,6442359,6431874,6336785,5936852,118,485849,6542993,7497593,66.25,65.6,172559,163182,96030,59890,12,15,24,33,78,32,4780203,71,9 + 17 part,141777,80.948,1.055,0,974.9,20.61,357544,6076057,75515,59560,34293,20300,26,33,57,83
9108,52,clc,0,285,134,93,82,69,46,6558684,6502215,6410823,6343599,6101976,5227158,167,319289,6524906,6264404,66.26,66.56,98729,100298,57722,65550,20,19,40,37,48,29,2937099,73,18 + 33 part,322444,94.108,1.052,23.62,969.41,20.44,211899,5902232,61809,64296,29556,31674,30,28,67,61
9108,52,Cu1510,1,214,94,57,53,49,40,6572729,6525225,6442486,6416819,6346184,5990396,120,495592,6543091,6123018,66.25,66.65,168174,172559,96030,102164,12,11,25,22,43,25,4241696,76,20 + 34 part,158616,95.429,1.093,0,587.51,22.21,301661,5847056,82825,92647,41205,49424,22,20,50,43
9108,52,DHS01,1,232,94,57,54,50,40,6580394,6525062,6442323,6426159,6355573,5961327,126,384130,6546362,7055752,66.25,65.76,167413,163182,96030,86727,13,14,26,30,50,30,4358551,60,16 + 17 part,178292,83.626,1.079,0,990.81,21.49,339362,5908947,74272,70415,34702,28339,23,26,54,65
9108,52,DK2,1,227,94,57,54,50,39,6578502,6524568,6441829,6421841,6351206,5912040,124,384271,6545367,6402658,66.25,66.27,172559,172559,97401,101709,12,12,25,24,56,26,4403030,51,19 + 25 part,219619,91.662,1.078,0,960.71,20.07,261753,5875623,76868,77608,36665,38825,23,22,53,50
9108,52,DSM_50071,1,218,90,53,51,48,38,6575399,6525170,6442431,6431946,6378604,5978569,116,420869,6542960,6317050,66.25,66.52,183521,183521,98270,101709,11,11,23,22,47,24,4085995,53,18 + 18 part,147114,94.289,1.074,0,941.13,20.16,339601,5963667,85540,89592,43330,47126,21,20,48,45
9108,52,F22031,1,223,94,57,54,50,40,6576105,6525224,6442485,6426321,6355735,5961373,121,384129,6543497,6603099,66.25,66.22,168174,168174,96030,96030,13,13,26,26,55,31,4192954,72,9 + 14 part,103086,90.335,1.08,0,967.41,20.39,339467,5973109,76455,74759,39668,39283,23,24,52,53
