StrainID,Assembly,Hybrid,Coverage,Ncontigs,LargestContig,TotalLength,ReferenceLength,GC,ReferenceGC,N50,NG50,N75,NG75,L50,LG50,L75,LG75,Nmisassemblies,NmisassembledContigs,MisassembledContigsLength,LocalMisassemblies,UnalignedLength,GenomeFraction,NmismatchesPer100kbp,NindelsPer100kbp,LargestAlignment,TotalAlignedLength,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
9108,12-4-4_59,1,52,120,384129,6545188,6431911,66.25,66.35,172559,172559,96030,98270,12,12,25,24,45,28,4182614,56,144950,92.23,975.62,20.85,339462,5937864,102487,102487,47125,47278,20,20,46,45
9108,8380,1,52,123,485848,6546088,6613260,66.25,66.23,172559,172559,96030,96030,12,12,25,25,60,27,4591775,55,120867,90.934,958.7,21.1,261853,6022202,72526,72486,39165,38825,26,27,55,57
9108,AES-1R,1,52,120,384278,6543897,6343337,66.25,66.51,172559,172559,96030,101761,12,12,25,23,54,32,4693781,59,127088,94.113,927.05,20.34,327094,5977876,82045,84419,47805,50878,24,23,50,47
9108,ATCC_27853,1,52,131,485955,6545919,6827737,66.25,66.11,163182,145799,96030,86727,14,15,27,30,56,29,4240907,69,214933,86.918,989.84,20.51,261562,5943204,79721,75753,38623,32095,24,26,54,60
9108,B136-33,1,52,116,495592,6545093,6421010,66.25,66.42,213095,213927,106146,111623,11,10,21,20,31,16,3649190,31,122188,94.482,635.35,13.73,369324,6074312,113656,116629,56086,58450,18,17,39,37
9108,BAMCPA07-48,1,52,116,384235,6543771,7021552,66.25,66.03,213095,172559,106146,89341,11,13,22,26,50,24,4533359,35,141312,87.286,620.48,15.58,279564,6139829,103784,94030,50803,34528,19,22,43,52
9108,Carb01_63,1,52,118,485849,6542993,7497593,66.25,65.6,172559,163182,96030,59890,12,15,24,33,78,32,4780203,71,141777,80.948,974.9,20.61,357544,6076057,75515,59560,34293,20300,26,33,57,83
9108,clc,0,52,167,319289,6524906,6264404,66.26,66.56,98729,100298,57722,65550,20,19,40,37,48,29,2937099,73,322444,94.108,969.41,20.44,211899,5902232,61809,64296,29556,31674,30,28,67,61
9108,Cu1510,1,52,120,495592,6543091,6123018,66.25,66.65,168174,172559,96030,102164,12,11,25,22,43,25,4241696,76,158616,95.429,587.51,22.21,301661,5847056,82825,92647,41205,49424,22,20,50,43
9108,DHS01,1,52,126,384130,6546362,7055752,66.25,65.76,167413,163182,96030,86727,13,14,26,30,50,30,4358551,60,178292,83.626,990.81,21.49,339362,5908947,74272,70415,34702,28339,23,26,54,65
9108,DK2,1,52,124,384271,6545367,6402658,66.25,66.27,172559,172559,97401,101709,12,12,25,24,56,26,4403030,51,219619,91.662,960.71,20.07,261753,5875623,76868,77608,36665,38825,23,22,53,50
9108,DSM_50071,1,52,116,420869,6542960,6317050,66.25,66.52,183521,183521,98270,101709,11,11,23,22,47,24,4085995,53,147114,94.289,941.13,20.16,339601,5963667,85540,89592,43330,47126,21,20,48,45
